date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:15:39	202/202	---M--	200	added ('OK')	text/plain	date:Tue,%2003%20Oct%202023%2014:50:12%20GMT	https://intranet.alxswe.com/robots.txt		(from )
17:15:40	106/106	---MC-	302	error ('Found')	text/html	date:Thu,%2005%20Oct%202023%2016:15:40%20GMT	https://intranet.alxswe.com/	/mnt/e/WinFiles/htdocs/ALX/official0mega.blog/alx-middle_level_programming/intranet.alxswe.com/index.html	(from )
17:15:41	3872/3872	---MC-	200	added ('OK')	text/html	etag:W/%225dc14b554f7aafc3d673f174cd597432%22	https://intranet.alxswe.com/auth/sign_in	/mnt/e/WinFiles/htdocs/ALX/official0mega.blog/alx-middle_level_programming/intranet.alxswe.com/auth/sign_in.html	(from https://intranet.alxswe.com/)
17:15:45	405191/405191	---M-Z	200	added ('OK')	text/css	etag:%22651c2bfd-1101a%22	https://intranet.alxswe.com/assets/application_alx-74569621e0a42d001c13ab89b56439fe012151faea39290de037757e4f7aa681.css	/mnt/e/WinFiles/htdocs/ALX/official0mega.blog/alx-middle_level_programming/intranet.alxswe.com/assets/application_alx-74569621e0a42d001c13ab89b56439fe012151faea39290de037757e4f7aa681.css	(from https://intranet.alxswe.com/auth/sign_in)
17:15:46	23421/23421	---M--	200	added ('OK')	image/vnd.microsoft.icon	date:Tue,%2003%20Oct%202023%2014:50:12%20GMT	https://intranet.alxswe.com/favicon_alx.ico	/mnt/e/WinFiles/htdocs/ALX/official0mega.blog/alx-middle_level_programming/intranet.alxswe.com/favicon_alx.ico	(from https://intranet.alxswe.com/auth/sign_in)
17:15:50	1302535/1302535	---M-Z	200	added ('OK')	application/javascript	etag:%22651c2cf9-5ec4e%22	https://intranet.alxswe.com/assets/application-5706839fb304956e60447a09b3777f0619be3f1897ac01833392e18931549abd.js	/mnt/e/WinFiles/htdocs/ALX/official0mega.blog/alx-middle_level_programming/intranet.alxswe.com/assets/application-5706839fb304956e60447a09b3777f0619be3f1897ac01833392e18931549abd.js	(from https://intranet.alxswe.com/auth/sign_in)
17:15:50	5637/5637	---M--	200	added ('OK')	image/png	date:Tue,%2003%20Oct%202023%2014:50:12%20GMT	https://intranet.alxswe.com/apple-touch-icon_alx.png	/mnt/e/WinFiles/htdocs/ALX/official0mega.blog/alx-middle_level_programming/intranet.alxswe.com/apple-touch-icon_alx.png	(from https://intranet.alxswe.com/auth/sign_in)
17:15:53	142079/142079	---M-Z	200	added ('OK')	text/css	date:Tue,%2003%20Oct%202023%2014:58:36%20GMT	https://intranet.alxswe.com/packs/css/application-87456da7.css	/mnt/e/WinFiles/htdocs/ALX/official0mega.blog/alx-middle_level_programming/intranet.alxswe.com/packs/css/application-87456da7.css	(from https://intranet.alxswe.com/auth/sign_in)
17:15:55	3373/3373	---MC-	200	added ('OK')	text/html	etag:W/%22a7c02590dbd188374c06e8c483cda815%22	https://intranet.alxswe.com/auth/password/new	/mnt/e/WinFiles/htdocs/ALX/official0mega.blog/alx-middle_level_programming/intranet.alxswe.com/auth/password/new.html	(from https://intranet.alxswe.com/auth/sign_in)
17:15:58	2242802/2242802	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2003%20Oct%202023%2014:58:34%20GMT	https://intranet.alxswe.com/packs/js/application-9f538f725b9264f19c6a.js	/mnt/e/WinFiles/htdocs/ALX/official0mega.blog/alx-middle_level_programming/intranet.alxswe.com/packs/js/application-9f538f725b9264f19c6a.js	(from https://intranet.alxswe.com/auth/sign_in)
